date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:43	91/91	---MCZ	200	added ('OK')	text/plain	date:Tue,%2007%20Jan%202025%2021:45:44%20GMT	https://stormapplications.com/robots.txt		(from )
18:45:43	52231/52231	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202025%2021:45:45%20GMT	https://stormapplications.com/	C:/Meus%20Sites/storm/stormapplications.com/index.html	(from )
18:45:43	44464/44464	---MCZ	200	added ('OK')	text/css	etag:W/%22adb0-1926cb41c20%22	https://stormapplications.com/_next/static/css/48b98a57dcdb193d.css	C:/Meus%20Sites/storm/stormapplications.com/_next/static/css/48b98a57dcdb193d.css	(from https://stormapplications.com/)
18:45:44	3755/3755	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eab-1926cb41c20%22	https://stormapplications.com/_next/static/chunks/webpack-8a000bd52f510dc0.js	C:/Meus%20Sites/storm/stormapplications.com/_next/static/chunks/webpack-8a000bd52f510dc0.js	(from https://stormapplications.com/)
18:45:44	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a31f-1926cb41c20%22	https://stormapplications.com/_next/static/chunks/27a43bef-5bbb6157f4e84c28.js	C:/Meus%20Sites/storm/stormapplications.com/_next/static/chunks/27a43bef-5bbb6157f4e84c28.js	(from https://stormapplications.com/)
18:45:44	123360/123360	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e1e0-1926cb41c20%22	https://stormapplications.com/_next/static/chunks/349-97f33d7251ef7a4c.js	C:/Meus%20Sites/storm/stormapplications.com/_next/static/chunks/349-97f33d7251ef7a4c.js	(from https://stormapplications.com/)
18:45:44	461/461	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cd-1926cb41c20%22	https://stormapplications.com/_next/static/chunks/main-app-c842ed937b937f9a.js	C:/Meus%20Sites/storm/stormapplications.com/_next/static/chunks/main-app-c842ed937b937f9a.js	(from https://stormapplications.com/)
18:45:44	3837/3837	---MCZ	200	added ('OK')	application/javascript	etag:W/%22efd-1926cb41c20%22	https://stormapplications.com/_next/static/chunks/84fbfe7f-0c62f30cf8a23710.js	C:/Meus%20Sites/storm/stormapplications.com/_next/static/chunks/84fbfe7f-0c62f30cf8a23710.js	(from https://stormapplications.com/)
18:45:45	22684/22684	---MCZ	200	added ('OK')	application/javascript	etag:W/%22589c-1926cb41c20%22	https://stormapplications.com/_next/static/chunks/324-38c4bb5bf1479ab5.js	C:/Meus%20Sites/storm/stormapplications.com/_next/static/chunks/324-38c4bb5bf1479ab5.js	(from https://stormapplications.com/)
18:45:45	20545/20545	---MCZ	200	added ('OK')	application/javascript	etag:W/%225041-1926cb41c20%22	https://stormapplications.com/_next/static/chunks/125-295a20a878e0ea53.js	C:/Meus%20Sites/storm/stormapplications.com/_next/static/chunks/125-295a20a878e0ea53.js	(from https://stormapplications.com/)
